states:SOC,"V_{batt,actual}",I_{batt},dXdt:p_e,states:p_e,states:p_z,Power_F,states:phi,Omega_R,Omega_F,t,states:T_{batt},states:T_{coolant},"states:T_{motor,F}",Power_{TMS}
0.715835000405335,633.6072685711368,93.1127967604867,32.666205719671375,31.899780472533713,1.7000005106819367,13.404035093643305,8.562724033134224,701.0278486421471,701.0278458628836,995.0000000000001,317.1514009626518,310.6001826981941,320.8632240741481,0.7499708369806684
0.7145963091832015,633.2788081863844,93.16097689632679,32.66245471311861,32.06366888093645,1.7000005120948645,13.40403474013388,8.560173879550495,701.0281564535927,701.0281531971251,1000.0000000000001,317.17167061259926,310.6119169628507,320.88348582479733,0.7499774858485667
0.7133576179610681,632.9503478016319,93.20915703216686,32.658703706565845,32.22755728933919,1.7000005135077922,13.404034386624456,8.557623725966765,701.0284642650383,701.0284605313666,1005.0000000000001,317.1919402625467,310.6236512275073,320.9037475754465,0.7499841347164652
0.7121189267389346,632.6218874168794,93.25733716800693,32.654952700013084,32.39144569774192,1.70000051492072,13.404034033115032,8.555073572383037,701.0287720764841,701.028767865608,1010.0000000000001,317.21220991249425,310.63538549216395,320.92400932609576,0.7499907835843636
0.7108261659173284,632.2805956561306,93.30524641199926,32.64730638718316,32.56160660711684,1.7001056068552565,13.403649282866919,8.5564619426937,701.0258064079532,701.025802363807,1015.0000000000001,317.23232361230237,310.64678640844005,320.9440244822147,0.7499894721413775
0.7095334050957223,631.9393038953817,93.35315565599159,32.63966007435323,32.731767516491765,1.700210698789793,13.403264532618806,8.557850313004362,701.0228407394222,701.022836862006,1020.0000000000001,317.2524373121105,310.6581873247162,320.96403963833353,0.7499881606983915
0.708240644274116,631.5980121346329,93.40106489998392,32.632013761523304,32.901928425866686,1.7003157907243294,13.402879782370693,8.559238683315025,701.0198750708913,701.019871360205,1025.0,317.2725510119186,310.6695882409923,320.98405479445245,0.7499868492554054
0.7071132487044298,631.2997712003838,93.44625521499495,32.63672468462047,33.0499439346722,1.700348125235224,13.403008323878435,8.561241369284625,701.0219703124811,701.0219670647249,1030.0,317.2895155049935,310.67921137622966,321.0008825102921,0.7499892304916986
0.7059858531347436,631.0015302661348,93.49144553000598,32.64143560771763,33.19795944347772,1.7003804597461185,13.403136865386179,8.563244055254227,701.024065554071,701.0240627692447,1035.0,317.30647999806837,310.688834511467,321.0177102261318,0.7499916117279919
0.7048584575650574,630.7032893318858,93.536635845017,32.6461465308148,33.345974952283235,1.700412794257013,13.40326540689392,8.565246741223827,701.0261607956608,701.0261584737646,1040.0,317.3234444911433,310.69845764670436,321.0345379419715,0.7499939929642851
0.7037310619953712,630.4050483976367,93.58182616002803,32.65085745391196,33.49399046108875,1.7004451287679077,13.403393948401664,8.567249427193428,701.0282560372506,701.0282541782844,1045.0,317.3404089842182,310.7080807819417,321.0513656578112,0.7499963742005784
0.7026036664256851,630.1068074633877,93.62701647503904,32.65556837700912,33.64200596989427,1.700477463278802,13.403522489909406,8.56925211316303,701.0303512788405,701.0303498828042,1050.0,317.35737347729304,310.71770391717905,321.06819337365084,0.7499987554368717
0.7014762708559988,629.8085665291386,93.67220679005007,32.66027930010628,33.790021478699785,1.7005097977896966,13.40365103141715,8.57125479913263,701.0324465204303,701.0324455873241,1055.0,317.37433797036795,310.7273270524164,321.0850210894905,0.7500011366731649
0.7003488752863126,629.5103255948897,93.7173971050611,32.664990223203446,33.9380369875053,1.7005421323005911,13.403779572924892,8.57325748510223,701.0345417620201,701.034541291844,1060.0,317.39130246344286,310.73695018765375,321.10184880533023,0.7500035179094582
0.6992214797166264,629.2120846606406,93.76258742007212,32.66970114630061,34.08605249631082,1.7005744668114857,13.403908114432635,8.575260171071832,701.0366370036099,701.0366369963638,1065.0,317.4082669565177,310.7465733228911,321.1186765211699,0.7500058991457514
0.6980940841469402,628.9138437263915,93.80777773508315,32.674412069397775,34.234068005116335,1.7006068013223803,13.404036655940377,8.577262857041433,701.0387322451998,701.0387327008837,1070.0,317.4252314495926,310.75619645812844,321.13550423700957,0.7500082803820447
0.6968305797845753,628.5728336465364,93.85917012681463,32.676101095061235,34.39908196664749,1.7005689515113163,13.404036759369946,8.577903583583847,701.0378088684784,701.0378094340533,1075.0,317.44321933222324,310.76646593177804,321.15317470345326,0.750017430567392
0.6955670754222105,628.2318235666814,93.91056251854612,32.677790120724694,34.564095928178645,1.700531101700252,13.404036862799515,8.578544310126262,701.0368854917568,701.036886167223,1080.0,317.46120721485386,310.7767354054277,321.17084516989695,0.7500265807527393
0.6943035710598456,627.8908134868263,93.9619549102776,32.67947914638815,34.729109889709804,1.700493251889188,13.404036966229084,8.579185036668674,701.0359621150354,701.0359629003925,1085.0,317.47919509748453,310.7870048790773,321.18851563634064,0.7500357309380866
0.6930400666974809,627.5498034069713,94.01334730200908,32.681168172051606,34.89412385124096,1.700455402078124,13.404037069658653,8.579825763211089,701.0350387383139,701.0350396335622,1090.0,317.49718298011516,310.79727435272696,321.20618610278433,0.7500448811234339
0.691776562335116,627.2087933271163,94.06473969374056,32.682857197715066,35.059137812772114,1.7004175522670597,13.404037173088222,8.580466489753503,701.0341153615925,701.0341163667318,1095.0,317.5151708627458,310.80754382637656,321.223856569228,0.7500540313087812
0.6905130579727512,626.8677832472612,94.11613208547205,32.684546223378526,35.22415177430327,1.7003797024559957,13.40403727651779,8.581107216295916,701.0331919848711,701.0331930999014,1100.0,317.53315874537645,310.8178133000262,321.2415270356717,0.7500631814941285
0.6892495536103863,626.5267731674062,94.16752447720353,32.686235249041985,35.38916573583443,1.7003418526449314,13.40403737994736,8.58174794283833,701.0322686081496,701.032269833071,1105.0,317.5511466280071,310.8280827736758,321.2591975021154,0.7500723316794758
0.6879860492480214,626.1857630875511,94.21891686893503,32.68792427470544,35.55417969736558,1.7003040028338674,13.404037483376928,8.582388669380745,701.0313452314282,701.0313465662407,1110.0,317.5691345106377,310.8383522473255,321.2768679685591,0.7500814818648232
0.6867225448856566,625.844753007696,94.27030926066651,32.6896133003689,35.71919365889674,1.7002661530228034,13.404037586806497,8.583029395923159,701.0304218547068,701.0304232994104,1115.0,317.5871223932683,310.8486217209751,321.2945384350028,0.7500906320501706
0.6854590405232918,625.503742927841,94.32170165239799,32.69130232603236,35.8842076204279,1.7002283032117391,13.404037690236066,8.583670122465573,701.0294984779853,701.02950003258,1120.0,317.60511027589894,310.8588911946247,321.31220890144647,0.7500997822355179
0.684195536160927,625.1627328479859,94.37309404412947,32.69299135169582,36.04922158195906,1.700190453400675,13.404037793665635,8.584310849007986,701.0285751012639,701.0285767657496,1125.0,317.6230981585296,310.86916066827433,321.32987936789016,0.7501089324208652
